ID,Charactor,cantonesePhonetic
160,豝,baa1
161,犮,bat6
162,拔,bat6
163,茇,baat6
164,胈,bat6
165,菝,bat6
166,跋,bat6
167,跋,but6
168,軷,bat6
169,魃,baat6
170,鼥,bat6
171,把,baa2
172,钯,baa2
173,靶,baa2
174,坝,baa3
175,弝,baa3
176,爸,baa1
177,罢,baa6
178,罢,pei4
179,跁,paa1
180,霸,baa3
181,灞,baa3
182,掰,baai1
183,白,baak6
184,百,baak3
185,佰,baak3
186,柏,baak3
187,捭,baai2
188,摆,baai2
189,襬,baai2
190,呗,baai6
191,败,baai6
192,拜,baai1
193,拜,baai3
194,稗,baai6
195,稗,bai6
196,粺,baai6
197,粺,bai6
198,鞁,bei6
199,扳,paan1
200,攽,baan1
201,攽,ban1
202,班,baan1
203,般,bo1
204,般,bun1
205,颁,baan1
206,颁,paan1
207,斑,baan1
208,搬,bun1
209,斒,baan1
210,瘢,baan1
211,阪,faan2
212,昄,baan2
213,板,baan2
214,版,baan2
215,钣,baan2
216,舨,baan2
217,蝂,baan2
218,魬,baan2
219,办,baan6
220,半,bun3
221,伴,bun6
222,伴,pun5
223,扮,baan3
224,姅,bun3
225,拌,bun6
226,拌,pun3
227,绊,bun6
228,湴,baan6
229,靽,bun3
230,瓣,baan6
231,瓣,faan6
232,邦,bong1
233,帮,bong1
234,梆,bong1
235,縍,bong2
236,鞤,bong1
237,绑,bong2
238,榜,bong2
239,榜,pong3
240,牓,bong2
241,膀,bong2
242,膀,pong4
243,玤,bung2
244,蚌,pong5
245,傍,bong6
246,傍,pong4
247,棒,paang5
248,棓,paang5
249,棓,bui4
250,谤,pong3
251,蒡,bong2
252,磅,bong6
253,镑,bong6
254,艕,pong3
255,包,baau1
256,孢,baau1
257,苞,baau1
258,胞,baau1
259,煲,bou1
260,龅,baau6
261,褒,bou1
262,雹,bok6
263,宝,bou2
264,饱,baau2
265,保,bou2
266,鸨,bou2
267,堡,bou2
268,葆,bou2
269,褓,bou2
270,駂,bou2
271,报,bou3
272,抱,pou5
273,豹,paau3
274,趵,paau3
275,菢,bou6
276,袌,pou5
277,鲍,baau1
278,鲍,baau6
279,暴,bou6
280,暴,buk6
281,虣,bou6
282,爆,baau3
283,陂,bei1
284,陂,po1
285,卑,bei1
286,杯,bui1
287,桮,bui1
288,悲,bei1
289,碑,bei1
290,鹎,bei1
291,藣,bei1
292,喺,hei2
293,北,bak1
294,贝,bui3
295,狈,bui3
296,邶,bui3
297,备,bei6
298,背,bui3
299,背,bui6
300,钡,bui3
301,倍,pui5
302,悖,bui3
303,悖,bui6
304,被,bei6
305,被,pei1
306,被,pei5
307,偝,bui3
308,惫,baai6
309,惫,bei6
310,焙,bui6
311,琲,pui3
312,辈,bui3
313,碚,pui5
314,蓓,pui4
315,蓓,pui5
316,褙,bui3
317,誖,bui6
318,骳,bei6
319,糒,bei6
320,鞴,gau1
321,奔,ban1
322,贲,ban1
323,贲,fan4
324,贲,bei3
325,锛,ban1
326,本,bun2
327,苯,bun2
328,畚,bun2
329,坌,ban6
330,笨,ban6
331,伻,ping1
332,祊,bang1
333,崩,bang1
334,绷,baang6
335,绷,maang1
336,絣,bang1
337,痭,bang1
338,甭,bat1
339,埲,bong6
340,埲,bung6
341,埲,pung1
342,菶,bung2
343,琫,bung2
344,泵,bam1
345,迸,bing3
346,跰,pin4
347,塴,bang1
348,甏,bong3
349,蹦,baang6
350,屄,bei1
351,偪,bik1
352,逼,bik1
353,鎞,pei1
354,鵖,gip3
355,柲,bei3
356,荸,but6
357,鼻,bei6
358,匕,bei2
359,匕,bei6
360,比,bei2
361,比,bei6
362,比,pei4
363,妣,bei2
364,沘,bei2
365,疕,bei2
366,彼,bei2
367,柀,bei2
368,秕,bei2
369,俾,bei2
370,笔,bat1
371,鄙,pei2
372,币,bai6
373,必,bit1
374,毕,bat1
375,闭,bai3
376,佖,bit1
377,坒,bai6
378,庇,bei3
379,诐,bei1
380,诐,bei3
381,邲,bei3
382,怭,bit1
383,畀,bei3
384,苾,bat6
385,哔,bat1
386,毖,bei3
387,珌,bit1
388,荜,bat1
389,陛,bai6
390,毙,bai6
391,狴,bai6
392,铋,bei3
393,婢,pei5
394,庳,pei5
395,敝,bai6
396,梐,bai6
397,萆,bei1
398,堛,pei3
399,弼,bat6
400,愊,bik1
401,愎,bik1
402,愎,fuk1
403,湢,bik1
404,皕,bik1
405,筚,bat1
406,赑,bei6
407,彃,bat1
408,楅,bik1
409,滗,bei3
410,滭,bat1
411,痹,bei3
412,腷,bik1
413,蓖,bei1
414,蓖,bei4
415,蜌,bai6
416,裨,bei1
417,裨,pei4
418,跸,bat1
419,辟,pik1
420,閟,bei3
421,飶,bit1
422,弊,bai6
423,碧,bik1
424,箅,bei3
425,綼,bik1
426,蔽,bai3
427,鄪,bei3
428,馝,bit6
429,獘,bai6
430,駜,bit1
431,髲,bei6
432,壁,bek3
433,壁,bik1
434,壁,bik3
435,嬖,pei3
436,篦,bei6
437,縪,bat1
438,薜,bai6
439,觱,bit1
440,避,bei6
441,鮅,bit1
442,濞,pei3
443,臂,bei3
444,鞞,bei2
445,鞞,pei4
446,鞞,bing2
447,髀,bei2
448,奰,bei6
449,璧,bik1
450,璧,bik3
451,襞,bik1
452,襣,bei6
453,躄,bik1
454,鷩,bit3
455,边,bin1
456,砭,bin1
457,笾,bin1
458,猵,bin1
459,编,pin1
460,萹,bin1
461,煸,pin1
462,甂,pin1
463,箯,bin1
464,蝙,bin1
465,蝙,bin2
466,蝙,pin1
467,鞭,bin1
468,贬,bin2
469,扁,bin2
470,扁,pin1
471,窆,bin2
472,匾,bin2
473,惼,bin2
474,碥,bin2
475,稨,bin2
476,褊,bin2
477,卞,bin6
478,弁,bin6
479,弁,pun4
480,忭,bin6
481,抃,bin6
482,汳,bin6
483,汴,bin6
484,釆,bin6
485,拚,pun2
486,拚,pun3
487,便,bin6
488,便,pin4
489,变,bin3
490,缏,pin4
491,遍,bin3
492,遍,pin3
493,艑,bin6
494,辨,bin6
495,辩,bin6
496,辫,bin1
497,杓,biu1
498,杓,soek3
499,彪,biu1
500,标,biu1
501,飑,biu1
502,骉,biu1
503,髟,biu1
504,猋,biu1
505,滮,biu1
506,蔈,biu1
507,骠,piu3
508,熛,biu1
509,膘,biu1
510,麃,biu1
511,瘭,biu1
512,镖,biu1
513,飙,biu1
514,儦,biu1
515,瀌,biu1
516,藨,biu1
517,臕,biu1
518,穮,biu1
519,镳,biu1
520,表,biu2
521,婊,biu2
522,裱,biu2
523,褾,biu2
524,俵,biu2
525,摽,piu1
526,摽,piu5
527,鳔,piu5
528,憋,bit3
529,鳖,bit3
530,虌,bit3
531,别,bit3
532,别,bit6
533,咇,bit1
534,徶,pit3
535,襒,bit6
536,蹩,bit6
537,瘪,bit6
538,汃,paak3
539,汃,ban1
540,邠,ban1
541,砏,fan1
542,宾,ban1
543,彬,ban1
544,傧,ban1
545,傧,ban3
546,斌,ban1
547,滨,ban1
548,缤,ban1
549,槟,ban1
550,槟,bing1
551,镔,ban1
552,濒,ban1
553,濒,pan4
554,豳,ban1
555,璸,ban1
556,蠙,ban1
557,蠙,pan4
558,摈,ban3
559,殡,ban3
560,膑,ban3
561,髌,ban3
562,鬓,ban3
563,冰,bing1
564,兵,bing1
565,栟,bing1
566,掤,bing1
567,丙,bing2
568,邴,bing2
569,怲,bing2
570,抦,bing2
571,秉,bing2
572,昺,bing2
573,柄,beng3
574,柄,bing3
575,炳,bing2
576,饼,beng2
577,饼,bing2
578,禀,lam5
579,禀,ban2
580,鉼,beng2
581,鉼,bing4
582,并,bing1
583,并,bing3
584,并,bing6
585,并,ping3
586,病,beng6
587,病,bing6
588,偋,ping2
589,寎,bing2
590,摒,bing2
591,摒,bing3
592,拨,but6
593,拨,put3
594,波,bo1
595,玻,bo1
596,剥,bok1
597,剥,mok1
598,袚,fat1
599,袯,but6
600,钵,but3
601,饽,but6
602,啵,bo1
603,脖,but6
604,菠,bo1
605,碆,bo1
606,嶓,bo1
607,播,bo3
608,磻,pun4
609,蹳,but6
610,鱍,but6
611,伯,baa3
612,伯,baak3
613,孛,bui6
614,孛,but6
615,驳,bok3
616,帛,baak6
617,泊,paak3
618,泊,bok6
619,瓝,bok6
620,勃,but6
621,胉,bok3
622,亳,bok3
623,浡,but6
624,瓟,bok6
625,钹,bat6
626,钹,but6
627,铂,bok6
628,桲,but6
629,舶,baak3
630,舶,paak3
631,舶,bok6
632,博,bok3
633,渤,but6
634,葧,but6
635,鹁,but6
636,搏,bok3
637,猼,bok3
638,猼,pok3
639,馎,bok3
640,僰,bok3
641,箔,bok6
642,膊,bok3
643,踣,baak6
644,鋍,but6
645,镈,bok3
646,壆,bok3
647,薄,bok6
648,馞,but6
649,嚗,bok3
650,懪,bok3
651,礡,bok6
652,犦,bok6
653,髆,bok3
654,欂,bok3
655,襮,bok3
656,襮,buk6
657,鑮,bok3
658,跛,bai1
659,跛,bei3
660,跛,bo2
661,簸,bo2
662,簸,bo3
663,擘,maak3
664,檗,paak3
665,糪,bok1
666,譒,bo3
667,蘗,paak3
668,峬,bou1
669,逋,bou1
670,晡,bou1
671,餔,bou1
672,餔,bou3
673,轐,buk6
674,醭,pok3
675,醭,buk6
676,卜,baak6
677,卜,buk1
678,补,bou2
679,哺,bou1
680,哺,bou6
681,捕,bou6
682,鵏,bou2
683,不,bat1
684,布,bou3
685,吥,bat1
686,步,bou6
687,怖,bou3
688,部,bou6
689,埠,bou6
690,埠,fau6
691,瓿,pau2
692,蔀,bou6
693,篰,bou6
694,簿,bou6
695,嚓,caat3
696,擦,caat3
697,礤,caat3
698,偲,si1
699,猜,caai1
700,才,coi4
701,材,coi4
702,财,coi4
703,裁,coi4
704,纔,coi4
705,采,coi2
706,采,coi3
707,寀,coi2
708,彩,coi2
709,睬,coi2
710,跴,coi2
711,踩,caai2
712,菜,coi3
713,蔡,coi3
714,縩,coi3
715,参,caam1
716,参,saam1
717,参,cam1
718,参,sam1
719,骖,caam1
720,餐,caan1
721,残,caan4
722,蚕,caam4
723,惭,caam4
724,惨,caam2
725,朁,caam2
726,噆,cam2
727,噆,zam2
728,憯,caam2
729,穇,saam1
730,黪,caam2
731,灿,caan3
732,粲,caan3
733,澯,caan3
734,璨,caan3
735,仓,cong1
736,伧,cong1
737,沧,cong1
738,苍,cong1
739,鸧,cong1
740,舱,cong1
741,凔,cong1
742,藏,cong4
743,藏,zong6
744,操,cou1
745,操,cou3
746,糙,cou3
747,曹,cou4
748,嘈,cou4
749,漕,cou4
750,槽,cou4
751,艚,cou4
752,螬,cou4
753,艹,cou2
754,草,cou2
755,懆,cou2
756,騲,cou2
757,肏,caau3
758,鄵,cou3
759,鼜,cik1
760,册,caak3
761,侧,zak1
762,厕,cak1
763,厕,ci3
764,恻,caak1
765,恻,cak1
766,测,caak1
767,测,cak1
768,畟,cak1
769,粣,saan2
770,策,caak3
771,萴,zak1
772,筴,caak3
773,筴,gaap3
774,嵾,cam1
775,岑,sam4
776,梣,sam4
777,涔,sam4
778,噌,cang1
779,噌,zang1
780,层,cang4
781,嶒,cang4
782,蹭,sang3
783,叉,caa1
784,扠,caa1
785,扱,kap1
786,杈,caa1
787,杈,caa3
788,臿,caap3
789,嗏,caa1
790,插,caap3
791,锸,caap3
792,艖,caa1
793,秅,caa4
794,垞,caa4
795,查,caa4
796,查,zaa1
797,茬,ci4
798,茶,caa4
799,搽,caa4
800,槎,caa4
801,察,caat3
802,碴,zaa1
803,衩,caa3
804,蹅,caa1
805,奼,caa3
806,汊,caa3
807,岔,caa3
808,侘,caa3
809,诧,caa3
810,剎,caat3
811,剎,saat3
812,差,caa1
813,差,caai1
814,差,ci1
815,拆,caak3
816,钗,caai1
817,侪,caai4
818,柴,caai4
819,豺,caai4
820,喍,caai4
821,虿,caai3
822,瘥,caai3
823,瘥,co4
824,囆,caai3
825,辿,caam1
826,觇,zim1
827,梴,cin1
828,掺,saam1
829,搀,caam1
830,裧,sim4
831,幨,cim1
832,幨,zim1
833,襜,sim4
834,婵,sin4
835,谗,caam4
836,孱,caan3
837,孱,saan4
838,禅,sim4
839,禅,sin4
840,禅,sin6
841,馋,caam4
842,缠,cin4
843,缠,zin6
844,僝,saan4
845,獑,caam4
846,蝉,sin4
847,鋋,jin4
848,鋋,sin4
849,儃,sin4
850,廛,cin4
851,潺,saan4
852,毚,caam4
853,镡,taam4
854,瀍,cin4
855,儳,caam3
856,劖,caam4
857,繵,daan3
858,蟾,sim4
859,嚵,caam4
860,巉,caam4
861,瀺,caam4
862,欃,caam4
863,躔,cin4
864,镵,caam4
865,产,caan2
866,浐,caan2
867,谄,cim2
868,铲,caan2
869,阐,cin2
870,阐,zin2
871,蒇,cin2
872,蒇,zin2
873,幝,cin2
874,燀,daan6
875,燀,cin2
876,冁,cin2
877,灛,zin2
878,忏,caam3
879,摲,saam3
880,颤,zin3
881,羼,caan3
882,伥,caang1
883,伥,caang4
884,伥,coeng1
885,昌,coeng1
886,娼,coeng1
887,猖,coeng1
888,菖,coeng1
889,阊,coeng1
890,锠,coeng1
891,鲳,coeng1
892,鼚,coeng1
893,长,coeng4
894,长,zoeng2
895,肠,coeng4
896,苌,coeng4
897,尝,soeng4
898,偿,soeng4
899,常,soeng4
900,徜,soeng4
901,嫦,soeng4
902,鲿,soeng4
903,厂,hon3
904,厂,cong2
905,场,coeng4
906,昶,cong2
907,惝,cong2
908,惝,tong2
909,敞,cong2
910,氅,cong2
911,鋹,cong2
912,怅,coeng3
913,怅,zoeng3
914,玚,coeng3
915,玚,joeng4
916,玚,dong6
917,畅,coeng3
918,倡,coeng1
919,倡,coeng3
920,鬯,coeng3
921,唱,coeng3
922,韔,coeng3
923,抄,caau1
924,弨,ciu1
925,怊,ciu1
926,怊,tiu4
927,钞,caau1
928,钞,caau3
929,訬,caau2
930,訬,miu5
931,焯,coek3
932,焯,zoek3
933,超,ciu1
934,晁,ciu4
935,巢,caau4
936,朝,ciu4
937,朝,ziu1
938,鄛,caau4
939,嘲,zaau1
940,樔,caau4
941,樔,ziu2
942,潮,ciu4
943,罺,caau1
944,轈,caau4
945,吵,caau2
946,炒,caau2
947,耖,caau2
948,车,ce1
949,车,geoi1
950,砗,ce1
951,唓,ce1
952,扯,ce2
953,撦,ce2
954,奲,do2
955,屮,cit3
956,彻,cit3
957,坼,caak3
958,烢,zaak6
959,掣,zai3
960,掣,cit3
961,硩,zit3
962,撤,cit3
963,澈,cit3
964,抻,can2
965,郴,sam1
966,棽,cam1
967,琛,sam1
968,嗔,can1
969,嗔,zan1
970,綝,sam1
971,瞋,can1
972,諃,cam1
973,尘,can4
974,臣,san4
975,忱,sam4
976,沉,cam4
977,沉,sam2
978,沉,zam6
979,辰,san4
980,陈,can4
981,陈,zan6
982,茞,zi2
983,茞,coi2
984,宸,san4
985,晨,san4
986,谌,sam4
987,愖,sam4
988,煁,sam4
989,蔯,can4
990,鷐,san4
991,碜,cam2
992,墋,cam2
993,踸,cam2
994,闯,cong2
995,闯,cong3
996,衬,can3
997,疢,can2
998,疢,can3
999,称,can3
1000,称,cing1
1001,称,cing3
1002,龀,can3
1003,趁,can3
1004,榇,can3
1005,儭,can3
1006,嚫,can3
1007,谶,caam3
1008,谶,cam3
1009,柽,cing1
1010,棦,zaang1
1011,偁,cing1
1012,蛏,cing1
1013,铛,dong1
1014,琤,zaang1
1015,琤,zang1
1016,赪,cing1
1017,撑,caang1
1018,橕,caang1
1019,瞠,caang1
1020,瞠,tong4
1021,竀,cang1
1022,丞,sing4
1023,成,seng4
1024,成,cing4
1025,成,sing4
1026,朾,caang4
1027,朾,ting1
1028,呈,cing4
1029,承,sing4
1030,枨,caang4
1031,诚,sing4
1032,郕,sing4
1033,城,seng4
1034,城,sing4
1035,宬,sing4
1036,乘,sing4
1037,乘,sing6
1038,埕,cing4
1039,掁,caang4
1040,铖,sing4
1041,惩,cing4
1042,程,cing4
1043,裎,cing4
1044,塍,sing4
1045,酲,cing4
1046,澄,dang6
1047,澄,cing4
1048,橙,caang4
1049,逞,cing2
1050,骋,cing2
1051,骋,ping3
1052,秤,cing3
1053,吃,jaak3
1054,吃,gat1
1055,吃,hat1
1056,吃,hek3
1057,哧,ci1
1058,胵,ci1
1059,胵,ci3
1060,蚩,ci1
1061,鸱,ci1
1062,瓻,ci1
1063,眵,ci1
1064,笞,ci1
1065,嗤,ci1
1066,媸,ci1
1067,摛,ci1
1068,痴,ci1
1069,絺,ci1
1070,螭,ci1
1071,魑,lei4
1072,魑,ci1
1073,齝,ci1
1074,攡,ci1
1075,黐,ci1
1076,弛,ci2
1077,弛,ci4
1078,池,ci4
1079,驰,ci4
1080,迟,ci4
1081,泜,ci4
1082,泜,zi6
1083,茌,ci4
1084,持,ci4
1085,荎,ci4
1086,歭,ci4
1087,匙,ci4
1088,匙,si4
1089,蚳,ci4
1090,趍,ceoi1
1091,墀,ci4
1092,漦,lei4
1093,踟,ci4
1094,篪,ci4
1095,尺,ce2
1096,尺,cek3
1097,呎,cek3
1098,侈,ci2
1099,齿,ci2
1100,拸,ci2
1101,胣,ci2
1102,耻,ci2
1103,豉,si6
1104,袲,ji4
1105,褫,ci2
1106,彳,cik1
1107,叱,cik1
1108,斥,cik1
1109,赤,cek3
1110,赤,cik3
1111,饬,cik1
1112,饬,sik1
1113,抶,cik1
1114,迣,lai6
1115,迣,lit6
1116,炽,ci3
1117,翅,ci3
1118,敕,cik1
1119,啻,ci3
1120,傺,cai3
1121,跮,ci3
1122,瘛,kai3
1123,翨,ci3
1124,懘,cit3
1125,饎,ci3
1126,鶒,cik1
1127,鷘,cik1
1128,充,cung1
1129,冲,cung1
1130,冲,cung3
1131,忡,cung1
1132,茺,cung1
1133,浺,cung1
1134,珫,cung1
1135,翀,zung1
1136,舂,zung1
1137,憃,cung1
1138,憃,zung1
1139,憧,cung1
1140,罿,cung1
1141,罿,tung4
1142,艟,tung4
1143,虫,wai2
1144,虫,cung4
1145,崇,sung4
1146,爞,cung4
1147,宠,cung2
1148,铳,cung3
1149,揰,cung3
1150,抽,cau1
1151,紬,cau4
1152,搊,cau1
1153,瘳,cau1
1154,篘,cau1
1155,犨,cau4
1156,仇,cau4
1157,仇,kau4
1158,仇,sau4
1159,俦,cau4
1160,帱,dou6
1161,帱,tou4
1162,帱,cau4
1163,惆,cau4
1164,绸,cau4
1165,畴,cau4
1166,愁,sau4
1167,稠,cau4
1168,筹,cau4
1169,裯,cau4
1170,詶,cau4
1171,酬,cau4
1172,踌,cau4
1173,雔,cau4
1174,雔,sau4
1175,懤,cau4
1176,雠,cau4
1177,丑,cau2
1178,偢,ciu2
1179,瞅,cau2
1180,臭,cau3
1181,殠,cau3
1182,出,ceot1
1183,初,co1
1184,摴,syu1
1185,樗,syu1
1186,貙,ceoi1
1187,刍,co1
1188,除,ceoi4
1189,除,cyu1
1190,厨,ceoi4
1191,厨,cyu1
1192,滁,cyu1
1193,锄,co4
1194,蜍,cyu1
1195,蜍,syu4
1196,趎,zyu1
1197,鉏,co4
1198,雏,co1
1199,雏,co4
1200,犓,co1
1201,篨,cyu1
1202,橱,cyu1
1203,幮,cyu1
1204,躇,cyu1
1205,蹰,cyu1
1206,鶵,co4
1207,杵,cyu2
1208,础,co2
1209,储,cyu1
1210,储,cyu5
1211,楮,cyu2
1212,楚,co2
1213,褚,cyu2
1214,濋,co2
1215,檚,co2
1216,亍,cuk1
1217,处,cyu2
1218,处,cyu3
1219,处,syu3
1220,怵,zeot1
1221,绌,ceot1
1222,绌,zyut3
1223,绌,zyut6
1224,豖,cuk3
1225,俶,tik1
1226,俶,cuk1
1227,敊,cuk1
1228,琡,zyut3
1229,鄐,cuk1
1230,搐,cuk1
1231,滀,cuk1
1232,触,cuk1
1233,触,zuk1
1234,儊,co2
1235,諔,cuk1
1236,斶,cuk1
1237,歜,cuk1
1238,臅,zuk1
1239,黜,ceot1
1240,黜,zeot1
1241,黜,zyut6
1242,矗,cuk1
1243,搋,caai1
1244,搋,ci2
1245,膗,ceoi4
1246,揣,ceoi2
1247,揣,cyun2
1248,啜,zyut3
1249,嘬,caai3
1250,嘬,zyut3
1251,踹,caai2
1252,踹,jaai2
1253,踹,cyun2
1254,川,cyun1
1255,氚,cyun1
1256,穿,cyun1
1257,传,cyun4
1258,传,zyun6
1259,舡,gong1
1260,舡,syun4
1261,船,syun4
1262,圌,seoi4
1263,圌,cyun4
1264,遄,cyun4
1265,椽,cyun4
1266,歂,cyun4
1267,輲,syun4
1268,舛,cyun2
1269,荈,cyun2
1270,喘,cyun2
1271,串,cyun3
1272,玔,cyun3
1273,钏,cyun1
1274,钏,cyun3
1275,囱,coeng1
1276,囱,cung1
1277,疮,cong1
1278,窗,coeng1
1279,摐,cung1
1280,床,cong4
1281,磢,cong2
1282,创,cong1
1283,创,cong3
1284,怆,cong3
1285,刱,cong1
1286,刱,cong3
1287,吹,ceoi1
1288,吹,ceoi3
1289,炊,ceoi1
1290,垂,seoi4
1291,倕,seoi4
1292,陲,seoi4
1293,捶,ceoi4
1294,菙,ceoi4
1295,搥,ceoi4
1296,棰,ceoi4
1297,棰,seoi4
1298,棰,zeoi1
1299,腄,ceoi4
1300,槌,ceoi4
1301,锤,ceoi4
1302,锤,seoi4
1303,杶,ceon1
1304,春,ceon1
1305,椿,ceon1
1306,橁,ceon1
1307,輴,ceon1
1308,鰆,zeon1
1309,纯,seon4
1310,纯,zeon2
1311,唇,seon4
1312,莼,seon4
1313,淳,seon4
1314,犉,seon4
1315,鹑,seon4
1316,漘,seon4
1317,醇,seon4
1318,錞,deoi6
1319,偆,ceon2
1320,賰,ceon2
1321,踳,cyun2
1322,蠢,ceon2
1323,踔,coek3
1324,戳,coek3
1325,娖,cuk1
1326,惙,zyut3
1327,绰,coek3
1328,逴,coek3
1329,腏,zyut3
1330,辍,zyut3
1331,辍,zyut6
1332,趠,coek3
1333,龊,cuk1
1334,擉,cok3
1335,歠,zyut3
1336,齱,cuk1
1337,齱,zau1
1338,呲,zi1
1339,玼,ci2
1340,疵,ci1
1341,疵,ci4
1342,偨,ci1
1343,偨,zi1
1344,骴,ci1
1345,词,ci4
1346,祠,ci4
1347,茈,caai4
1348,茈,ci4
1349,茈,zi2
1350,茨,ci4
1351,堲,zik1
1352,瓷,ci4
1353,慈,ci4
1354,辞,ci4
1355,磁,ci4
1356,雌,ci1
1357,鹚,ci4
1358,飺,ci1
1359,餈,ci4
1360,薋,ci4
1361,此,ci2
1362,佌,ci2
1363,泚,ci2
1364,跐,ci2
1365,跐,coi2
1366,朿,ci3
1367,次,ci3
1368,佽,ci3
1369,刺,ci3
1370,刺,cik3
1371,刺,sik3
1372,庛,ci3
1373,茦,caak3
1374,莿,ci3
1375,絘,ci3
1376,蛓,ci3
1377,赐,ci3
1378,从,cung4
1379,从,sung1
1380,从,zung6
1381,匆,cung1
1382,苁,cung1
1383,枞,cung1
1384,葱,cung1
1385,骢,cung1
1386,熜,zung2
1387,瑽,cung4
1388,璁,cung1
1389,聪,cung1
1390,鏦,cung1
1391,丛,cung4
1392,悰,cung4
1393,淙,cung4
1394,淙,zung1
1395,琮,cung4
1396,慒,zou1
1397,漎,cung4
1398,漎,sung2
1399,潀,zung1
1400,賨,cung4
1401,藂,cung4
1402,凑,cau3
1403,楱,zeon1
1404,腠,cau3
1405,辏,cau3
1406,粗,cou1
1407,觕,cou1
1408,麤,cou1
1409,徂,cou4
1410,殂,cou4
1411,促,cuk1
1412,猝,cyut3
1413,酢,zok6
1414,蔟,cuk1
1415,憱,cuk1
1416,踧,dik6
1417,踧,cuk1
1418,醋,cou3
1419,瘯,cuk1
1420,簇,cuk1
1421,蹙,cuk1
1422,蹴,cuk1
1423,顣,cuk1
1424,汆,tan2
1425,汆,cyun1
1426,撺,cyun3
1427,蹿,cyun1
1428,巑,cyun4
1429,窜,cyun2
1430,窜,cyun3
1431,篡,saan3
1432,篹,zaan6
1433,爨,cyun3
1434,崔,ceoi1
1435,催,ceoi1
1436,缞,ceoi1
1437,墔,ceoi1
1438,摧,ceoi1
1439,摧,ceoi4
1440,榱,ceoi1
1441,磪,ceoi1
1442,鏙,ceoi1
1443,漼,ceoi2
1444,璀,ceoi1
1445,璀,ceoi2
1446,趡,ceoi2
1447,倅,ceoi3
1448,倅,zeot1
1449,脆,ceoi3
1450,啐,ceoi3
1451,啐,seoi6
1452,悴,seoi6
1453,淬,ceoi3
1454,淬,seoi6
1455,萃,seoi6
1456,毳,ceoi3
1457,焠,ceoi3
1458,焠,seoi6
1459,瘁,seoi6
1460,粹,seoi6
1461,綷,ceoi3
1462,翠,ceoi3
1463,膵,seoi6
1464,膬,ceoi3
1465,竁,ceoi3
1466,村,cyun1
1467,皴,seon1
1468,墫,deon1
1469,墫,cyun4
1470,存,cyun4
1471,踆,seon1
